,title,title-length,article,article-length,category,source
0,UK economy facing 'major risks',5,"['uk', 'manufactur', 'sector', 'continu', 'face', 'seriou', 'challeng', 'year', 'british', 'chamber', 'commerc', 'bcc', 'ha', ""group'"", 'quarterli', 'survey', 'compani', 'export', 'pick', 'month', 'best', 'level', 'year', 'rise', 'came', 'despit', 'exchang', 'rate', 'cite', 'major', 'concern', 'howev', 'bcc', 'uk', 'economi', 'face', 'major', 'risk', 'warn', 'growth', 'set', 'slow', 'recent', 'forecast', 'econom', 'growth', 'slow', 'littl', 'manufactur', 'domest', 'sale', 'growth', 'fell', 'slightli', 'quarter', 'survey', 'firm', 'employ', 'manufactur', 'fell', 'job', 'expect', 'lowest', 'level', 'year', 'despit', 'posit', 'news', 'export', 'sector', 'worri', 'sign', 'manufactur', 'bcc', 'result', 'reinforc', 'concern', ""sector'"", 'persist', 'inabl', 'sustain', 'recoveri', 'outlook', 'servic', 'sector', 'wa', 'uncertain', 'despit', 'increas', 'export', 'order', 'quarter', 'bcc', 'note', 'bcc', 'confid', 'increas', 'quarter', 'manufactur', 'servic', 'sector', 'overal', 'fail', 'reach', 'level', 'start', 'reduc', 'threat', 'rate', 'increas', 'contribut', 'improv', 'confid', 'bank', 'england', 'rais', 'rate', 'time', 'novemb', 'august', 'year', 'rate', 'kept', 'hold', 'sinc', 'amid', 'sign', 'fall', 'consum', 'confid', 'slowdown', 'output', 'pressur', 'cost', 'margin', 'relentless', 'increas', 'regul', 'threat', 'higher', 'tax', 'remain', 'seriou', 'problem', 'bcc', 'director', 'gener', 'david', 'frost', 'consum', 'spend', 'set', 'deceler', 'significantli', 'month', 'unlik', 'invest', 'export', 'rise', 'suffici', 'strongli', 'pick', 'slack']",319,business,bbc-data/business/289.txt
1,Aids and climate top Davos agenda,6,"['climat', 'chang', 'fight', 'aid', 'lead', 'list', 'concern', 'day', 'world', 'econom', 'forum', 'swiss', 'resort', 'davo', 'busi', 'polit', 'leader', 'globe', 'listen', 'uk', 'prime', 'minist', 'toni', ""blair'"", 'open', 'speech', 'wednesday', 'mr', 'blair', 'focu', ""africa'"", 'develop', 'plan', 'global', 'warm', 'earlier', 'day', 'came', 'updat', 'effort', 'million', 'peopl', 'anti-aid', 'drug', 'end', 'world', 'health', 'organis', 'peopl', 'poor', 'countri', 'life-extend', 'drug', 'month', 'earlier', 'onli', 'million', 'need', 'bn', 'fund', 'gap', 'stood', 'way', 'hit', 'target', 'theme', 'stress', 'mr', 'blair', 'attend', 'wa', 'announc', 'minut', 'want', 'domin', ""uk'"", 'chairmanship', 'group', 'industrialis', 'state', 'issu', 'discuss', 'five-day', 'confer', 'rang', ""china'"", 'econom', 'power', ""iraq'"", 'futur', 'thi', ""sunday'"", 'elect', 'asid', 'mr', 'blair', 'world', 'leader', 'expect', 'attend', 'includ', 'french', 'presid', 'jacqu', 'chirac', 'speak', 'video', 'link', 'bad', 'weather', 'delay', 'hi', 'helicopt', 'south', 'african', 'presid', 'thabo', 'mbeki', 'arriv', 'ha', 'delay', 'ivori', 'coast', 'peac', 'talk', ""ukraine'"", 'new', 'presid', 'viktor', 'yushchenko', 'newli', 'elect', 'palestinian', 'leader', 'mahmoud', 'abba', 'showbiz', 'figur', 'appear', 'frontman', 'bono', 'well-known', 'campaign', 'trade', 'develop', 'issu', 'angelina', 'joli', 'goodwil', 'campaign', 'refuge', 'unlik', 'previou', 'year', 'protest', 'wef', 'expect', 'mute', 'anti-globalis', 'campaign', 'demonstr', 'plan', 'weekend', 'time', 'peopl', 'expect', 'converg', 'brazilian', 'resort', 'porto', 'alegr', 'world', 'social', 'forum', 'so-cal', 'anti-davo', 'campaign', 'globalis', 'fair', 'trade', 'mani', 'caus', 'contrast', 'davo', 'forum', 'domin', 'busi', 'issu', 'outsourc', 'corpor', 'leadership', 'boss', 'fifth', ""world'"", 'largest', 'compani', 'schedul', 'attend', 'survey', 'publish', 'eve', 'confer', 'pricewaterhousecoop', 'busi', 'leader', 'veri', 'confid', 'compani', 'sale', 'rise', 'asian', 'american', 'execut', 'howev', 'confid', 'european', 'counterpart', 'polit', 'discuss', 'focus', 'iran', 'iraq', 'china', 'domin', 'media', 'attent']",442,business,bbc-data/business/504.txt
2,Asian quake hits European shares,5,"['share', ""europe'"", 'lead', 'reinsur', 'travel', 'firm', 'fallen', 'scale', 'damag', 'wrought', 'tsunami', 'south', 'asia', 'ha', 'becom', 'appar', 'peopl', 'kill', 'follow', 'massiv', 'underwat', 'earthquak', 'mani', 'worst', 'hit', 'area', 'popular', 'tourist', 'destin', 'reisur', 'firm', 'swiss', 'munich', 'lost', 'valu', 'investor', 'worri', 'rebuild', 'cost', 'disast', 'ha', 'littl', 'impact', 'stock', 'market', 'asia', 'currenc', 'includ', 'thai', 'baht', 'indonesian', 'rupiah', 'weaken', 'analyst', 'warn', 'econom', 'growth', 'slow', 'came', 'worst', 'possibl', 'time', 'han', 'goetti', 'singapore-bas', 'fund', 'manag', 'impact', 'tourist', 'industri', 'pretti', 'devast', 'especi', 'thailand', 'travel-rel', 'share', 'drop', 'europ', 'compani', ""germany'"", 'tui', 'lufthansa', ""france'"", 'club', 'mediterrann', 'slide', 'insur', 'reinsur', 'firm', 'pressur', 'europ', 'share', 'munich', 'swiss', ""world'"", 'biggest', 'reinsur', 'fell', 'market', 'specul', 'cost', 'rebuild', 'asia', 'zurich', 'financi', 'allianz', 'axa', 'suffer', 'declin', 'valu', 'howev', 'loss', 'smaller', 'reflect', ""market'"", 'view', 'reinsur', 'pick', 'bulk', 'cost', 'worri', 'size', 'insur', 'liabil', 'drag', 'european', 'share', 'impact', 'wa', 'exacerb', 'light', 'post-christma', 'trade', ""germany'"", 'benchmark', 'dax', 'index', 'close', 'day', 'point', 'lower', ""france'"", 'cac', 'index', 'lead', 'share', 'fell', 'point', 'investor', 'point', 'howev', 'declin', 'probabl', 'industri', 'specif', 'travel', 'insur', 'firm', 'hit', 'hardest', 'earli', 'concret', 'damag', 'figur', 'swiss', ""re'"", 'spokesman', 'floiran', 'woest', 'told', 'associ', 'press', 'ha', 'fact', 'damag', 'veri', 'wide', 'spread', 'geograph', 'unfold', 'scale', 'disast', 'south', 'asia', 'littl', 'immedi', 'impact', 'share', 'howev', 'dow', 'jone', 'index', 'risen', 'point', 'late', 'morn', 'analsyt', 'cheer', 'encourag', 'report', 'retail', 'post-christma', 'sale', 'asian', 'market', 'adjust', 'quickli', 'account', 'lower', 'earn', 'cost', 'repair', 'thai', 'airway', 'shed', 'countri', 'reli', 'tourism', 'total', 'economi', 'singapor', 'airlin', 'drop', ""singapore'"", 'annual', 'gross', 'domest', 'product', 'gdp', 'come', 'tourism', ""malaysia'"", 'budget', 'airlin', 'airasia', 'fell', 'resort', 'oper', 'tanco', 'hold', 'slump', 'travel', 'compani', 'took', 'hit', ""japan'"", 'kinki', 'nippon', 'slide', 'hi', 'drop', 'howev', 'overal', 'impact', ""asia'"", 'largest', 'stock', 'market', ""japan'"", 'nikkei', 'wa', 'slight', 'share', 'fell', 'just', 'concern', 'strength', 'econom', 'growth', 'forward', 'weigh', 'currenc', 'market', 'indonesian', 'rupiah', 'lost', 'dollar', 'befor', 'bounc', 'slightli', 'trade', 'thai', 'baht', 'lost', 'currenc', 'trade', 'india', 'peopl', 'thought', 'die', 'rupe', 'shed', 'dollar', 'analyst', 'wa', 'difficult', 'predict', 'total', 'cost', 'disast', 'warn', 'share', 'price', 'currenc', 'come', 'increas', 'pressur', 'mount']",541,business,bbc-data/business/262.txt
3,India power shares jump on debut,6,"['share', ""india'"", 'largest', 'power', 'produc', 'nation', 'thermal', 'power', 'corp', 'ntpc', 'risen', 'stock', 'market', 'debut', ""government'"", 'partial', 'sell-off', 'ntpc', 'controversi', 'programm', 'privatis', 'state-run', 'firm', 'million', 'share', 'offer', 'mix', 'new', 'share', 'sale', 'govern', 'rais', 'bn', 'rupe', 'bn', 'wa', ""india'"", 'second', 'bn', 'stock', 'debut', 'month', 'come', 'flotat', 'softwar', 'firm', 'tata', 'share', 'offer', 'wa', 'time', 'oversubscrib', 'good', 'invest', 'bet', 'suha', 'naik', 'invest', 'analyst', 'ing', 'mutual', 'fund', 'power', 'need', 'india', 'set', 'rise', 'ntpc', 'benefit', 'analyst', 'success', 'ntpc', 'flotat', 'encourag', 'govern', 'reduc', 'stake', 'power', 'compani', 'ntpc', 'ha', 'use', 'money', 'share', 'sale', 'feed', 'grow', 'need', ""country'"", 'energy-starv', 'economi', 'firm', 'largest', 'util', 'compani', 'india', 'sixth', 'largest', 'power', 'produc', 'world']",167,business,bbc-data/business/276.txt
4,Lacroix label bought by US firm,6,"['luxuri', 'good', 'group', 'lvmh', 'ha', 'sold', 'loss-mak', 'christian', 'lacroix', 'cloth', 'label', 'invest', 'group', 'paris-bas', 'firm', 'ha', 'shed', 'non-cor', 'busi', 'focus', 'profit', 'brand', 'includ', 'moet', 'chandon', 'champagn', 'loui', 'vuitton', 'lvmh', 'french', ""designer'"", 'haut', 'coutur', 'ready-to-wear', 'label', 'purchas', 'falic', 'group', 'unspecifi', 'sum', 'falic', 'group', 'bought', 'cosmet', 'label', 'lvmh', 'sale', 'lacroix', 'label', 'come', 'mani', 'fashion', 'hous', 'struggl', 'make', 'money', 'expens', 'haut', 'coutur', 'rang', 'florida-bas', 'falic', 'group', 'run', 'chain', 'duti', 'free', 'store', 'plan', 'expand', 'brand', 'open', 'new', 'store', 'mr', 'lacroix', 'plan', 'stay', 'label', 'exact', 'confirm']",144,business,bbc-data/business/510.txt
5,Insurance bosses plead guilty,4,"['anoth', 'insur', 'execut', 'plead', 'guilti', 'fraud', 'charg', 'stem', 'ongo', 'investig', 'industri', 'malpractic', 'execut', 'american', 'intern', 'group', 'aig', 'marsh', 'mclennan', 'latest', 'investig', 'new', 'york', 'attorney', 'gener', 'eliot', 'spitzer', 'ha', 'obtain', 'guilti', 'plea', 'highest', 'rank', 'execut', 'plead', 'guilti', 'tuesday', 'wa', 'marsh', 'senior', 'vice', 'presid', 'joshua', 'bewlay', 'admit', 'feloni', 'count', 'scheme', 'defraud', 'face', 'year', 'prison', 'marsh', 'spokeswoman', 'mr', 'bewlay', 'wa', 'longer', 'compani', 'mr', ""spitzer'"", 'investig', 'insur', 'industri', 'look', 'compani', 'rig', 'bid', 'fix', 'price', 'month', 'marsh', 'agre', 'pay', 'settl', 'lawsuit', 'file', 'mr', 'spitzer', 'settlement', 'admit', 'deni', 'alleg']",139,business,bbc-data/business/060.txt
6,Turkey-Iran mobile deal 'at risk',5,"[""turkey'"", 'invest', ""iran'"", 'mobil', 'industri', 'look', 'set', 'scrap', 'biggest', 'mobil', 'firm', 'saw', 'invest', 'slash', 'mp', ""iran'"", 'parliament', 'vote', 'larg', 'major', 'cut', ""turkcell'"", 'stake', 'new', 'mobil', 'network', 'wa', 'justifi', 'nation', 'secur', 'ground', 'follow', 'earlier', 'vote', 'mp', 'themselv', 'veto', 'foreign', 'invest', 'turkcel', 'decis', 'increas', 'risk', 'attach', 'project', ""company'"", 'statement', 'continu', 'monitor', 'develop', 'observ', 'thought', 'turkcel', 'wa', 'set', 'pull', 'bn', 'deal', 'possibl', 'carri', 'thi', 'project', 'zero', 'atinc', 'ozkan', 'analyst', 'finan', 'invest', 'istanbul', 'turkcel', 'doe', 'mtn', 'south', 'african', 'firm', 'lost', 'origin', 'tender', 'run', 'compani', 'ha', 'prepar', 'accept', 'minor', 'stake', 'iran', 'award', 'mobil', 'deal', ""turkcell'"", 'mobil', 'deal', 'second', 'turkish', 'invest', 'iran', 'run', 'troubl', 'turkish-austrian', 'consortium', 'tav', 'wa', 'chosen', 'build', 'run', ""tehran'"", 'new', 'imam', 'khomeini', 'intern', 'airport', 'armi', 'close', 'just', 'hour', 'open', 'case', 'justif', 'ha', 'nation', 'secur', 'amid', 'alleg', 'turkish', 'firm', 'close', 'israel', 'hardlin', 'postur', 'taken', 'parliament', 'domin', 'religi', 'conserv', 'impact', 'inward', 'invest']",249,business,bbc-data/business/074.txt
7,Parmalat to return to stockmarket,5,"['parmalat', 'italian', 'dairi', 'compani', 'went', 'bust', 'account', 'scandal', 'hope', 'italian', 'stock', 'exchang', 'juli', 'firm', 'gain', 'protect', 'creditor', 'reveal', 'debt', 'bn', 'euro', 'bn', 'bn', 'thi', 'wa', 'time', 'higher', 'previous', 'state', 'statement', 'issu', 'wednesday', 'night', 'parmalat', 'finanziaria', 'administr', 'latest', 'plan', 're-list', 'share', 'group', 're-list', 'italian', 'stock', 'exchang', 'creditor', 'debt', 'expect', 'convert', 'share', 'new', 'share', 'issu', 'bn', 'euro', ""company'"", 'creditor', 'ask', 'vote', 'plan', 'later', 'thi', 'year', 'plan', 'creditor', 'parmalat', 'finanziaria', 'share', 'worth', 'debt', 'owe', 'thi', 'lower', 'creditor', 'previous', 'hope', 'receiv', 'creditor', 'parmalat', 'main', 'oper', 'compani', 'percentag', 'debt', 'receiv', 'fall', 'sever', 'parmalat', 'execut', 'investig', 'fraud', 'scandal', 'lawmak', 'wednesday', 'night', 'enrico', 'bondi', 'turnaround', 'specialist', 'appoint', 'italian', 'govern', ""parmalat'"", 'chief', 'execut', 'spoke', 'posit', 'compani', 'dure', 'closed-door', 'hear', 'chamber', 'deputi', 'industri', 'commiss', 'bondi', 'suppli', 'element', 'posit', 'result', 'industri', 'posit', 'histori', 'debt', 'point', 'solut', 'parmalat', ""group'"", 'quotat', 'market', 'juli', 'italian', 'news', 'agenc', 'apcom', 'quot', 'sever', 'lawmak', 'statement']",260,business,bbc-data/business/048.txt
8,WorldCom director admits lying,4,"['chief', 'financi', 'offic', 'telecom', 'firm', 'worldcom', 'ha', 'admit', 'befor', 'new', 'york', 'court', 'use', 'lie', 'fellow', 'board', 'member', 'speak', 'trial', 'hi', 'boss', 'bernard', 'ebber', 'scott', 'sullivan', 'lie', 'board', 'cover', 'hole', ""worldcom'"", 'financ', 'mr', 'ebber', 'trial', 'fraud', 'conspiraci', 'relat', ""worldcom'"", 'collaps', 'plead', 'guilti', 'firm', 'overst', 'account', 'bn', 'bn', 'mr', 'sullivan', 'ha', 'alreadi', 'plead', 'guilti', 'fraud', 'sentenc', 'follow', 'mr', 'ebber', 'trial', 'appear', 'prosecut', 'wit', 'mr', 'ebber', 'ha', 'alway', 'insist', 'wa', 'unawar', 'ani', 'hidden', 'shortfal', ""worldcom'"", 'financ', 'new', 'york', 'court', 'wednesday', 'mr', 'ebber', 'lawyer', 'reid', 'weingarten', 'ask', 'mr', 'sullivan', 'believ', 'someth', 'abl', 'lie', 'accomplish', 'right', 'date', 'ye', 'wa', 'lie', 'repli', 'mr', 'sullivan', 'mr', 'weingarten', 'ha', 'suggest', 'mr', 'sullivan', 'implic', 'mr', 'ebber', 'onli', 'win', 'lighter', 'sentenc', 'someth', 'mr', 'sullivan', 'deni', 'mr', 'sullivan', 'reject', 'suggest', 'onc', 'told', 'fellow', 'worldcom', 'board', 'member', 'bert', 'robert', 'mr', 'ebber', 'wa', 'unawar', 'account', 'fraud', 'worldcom', 'trial', 'mr', 'ebber', 'week', 'hour', 'question', 'feder', 'prosecutor', 'mr', 'sullivan', 'ha', 'previous', 'told', 'court', 'repeatedli', 'warn', 'mr', 'ebber', 'falsifi', 'book', 'onli', 'way', 'meet', 'wall', 'street', 'revenu', 'earn', 'expect', 'mr', 'sullivan', 'claim', 'mr', 'ebber', 'refus', 'stop', 'fraud', 'mr', 'ebber', 'face', 'sentenc', 'year', 'convict', 'charg', 'face', ""worldcom'"", 'problem', 'appear', 'begun', 'collaps', 'dotcom', 'boom', 'cut', 'busi', 'internet', 'compani', 'prosecutor', 'alleg', ""company'"", 'execut', 'respond', 'orchestr', 'massiv', 'fraud', 'two-year', 'period', 'worldcom', 'emerg', 'bankruptci', 'protect', 'known', 'mci']",347,business,bbc-data/business/114.txt
9,Ebbers denies WorldCom fraud,4,"['worldcom', 'chief', 'berni', 'ebber', 'ha', 'deni', 'claim', 'knew', 'account', 'doctor', 'book', 'firm', 'speak', 'court', 'mr', 'ebber', 'reject', 'alleg', 'pressur', 'ex-chief', 'financi', 'offic', 'scott', 'sullivan', 'falsifi', 'compani', 'financi', 'statement', 'mr', 'sullivan', 'account', 'decis', 'told', 'feder', 'court', 'hi', 'financ', 'chief', 'keen', 'command', 'number', 'mr', 'ebber', 'ha', 'deni', 'charg', 'fraud', 'conspiraci', 'dure', 'hi', 'second', 'day', 'question', 'new', 'york', 'trial', 'mr', 'ebber', 'play', 'hi', 'work', 'relationship', 'mr', 'sullivan', 'deni', 'frequent', 'met', 'discuss', 'compani', 'busi', 'question', 'prosecut', 'lot', 'week', 'speak', 'time', 'mr', 'ebber', 'convers', 'financ', 'rare', 'one-on-on', 'usual', 'discuss', 'group', 'peopl', 'instead', 'mr', 'ebber', 'relationship', 'mr', 'sullivan', 'key', 'case', 'surround', 'financi', 'corrupt', 'led', 'collaps', 'firm', 'follow', 'discoveri', 'bn', 'account', 'fraud', ""prosecution'"", 'star', 'wit', 'mr', 'sullivan', 'worldcom', 'execut', 'indict', 'case', 'ha', 'plead', 'guilti', 'fraud', 'appear', 'prosecut', 'wit', 'agreement', 'prosecutor', 'dure', 'hi', 'time', 'wit', 'stand', 'mr', 'sullivan', 'repeatedli', 'told', 'juror', 'met', 'frequent', 'mr', 'ebber', 'told', 'chang', ""worldcom'"", 'account', 'hide', 'cost', 'warn', 'practis', 'improp', 'howev', 'dure', 'case', 'tuesday', 'mr', 'ebber', 'deni', 'alleg', 'advis', 'scott', 'sullivan', 'anyth', 'wrong', 'told', 'court', 'told', 'entri', 'right', 'today', 'mr', 'ebber', 'face', 'jail', 'sentenc', 'year', 'convict', 'charg', 'face', 'sharehold', 'lost', 'bn', ""worldcom'"", 'collaps', 'worker', 'lost', 'job', 'compani', 'went', 'bankrupt', 'compani', 'emerg', 'bankruptci', 'year', 'known', 'mci']",338,business,bbc-data/business/100.txt
